scenario_id,family_id,category,fault_type,target_V_pu,grid,scr,Rg_ohm,Lg_H,P_load,Q_load,power_factor,t_fault,fault_dur,recover_to_0p9_s,T_sim,trans_resistance,random_seed
178,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,330482.0,173105.5,0.8858,0.026098,0.4144,2.0,1.9405,0.3561,20260609
179,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,293897.1,179058.1,0.854,0.021109,0.6125,2.0,2.1336,0.145,20260609
180,18,LVRT,2ph,0.75,weak,3.0,26.3523,0.251646,307567.4,178818.4,0.8645,0.014714,0.3757,2.0,1.8904,0.7373,20260609
181,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,346076.7,143863.3,0.9234,0.021518,0.2828,2.0,1.8043,0.4773,20260609
182,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,312087.7,140749.5,0.9116,0.026724,0.2817,2.0,1.8085,0.5428,20260609
183,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,310952.0,118627.7,0.9343,0.014561,0.1969,2.0,1.7114,0.3568,20260609
184,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,285976.4,98144.4,0.9458,0.017871,0.5694,2.0,2.0873,0.4625,20260609
185,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,328964.5,173725.9,0.8843,0.021131,0.6015,2.0,2.1226,0.2804,20260609
186,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,359759.3,210947.1,0.8626,0.014692,0.529,2.0,2.0437,0.2126,20260609
187,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,335374.2,113159.3,0.9475,0.017362,0.3279,2.0,1.8453,0.3207,20260609
188,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,314859.2,118241.9,0.9362,0.012119,0.1862,2.0,1.6983,0.1467,20260609
189,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,316739.4,161095.4,0.8913,0.013333,0.2413,2.0,1.7546,0.1678,20260609
190,19,LVRT,2ph_g,0.2,strong,10.0,7.9057,0.075494,296985.8,178787.9,0.8567,0.021295,0.614,2.0,2.1352,0.4304,20260609
191,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,309055.0,114683.8,0.9375,0.025228,0.3006,2.0,1.8258,0.4491,20260609
192,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,308088.0,157532.3,0.8904,0.029888,0.2249,2.0,1.7548,0.2653,20260609
193,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,280230.1,139241.8,0.8955,0.026901,0.2138,2.0,1.7407,0.5553,20260609
194,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,308983.4,188500.9,0.8537,0.021705,0.4347,2.0,1.9564,0.3247,20260609
195,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,354090.4,154662.1,0.9164,0.024774,0.4757,2.0,2.0005,0.4176,20260609
196,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,349179.9,183477.3,0.8852,0.015975,0.3617,2.0,1.8777,0.6322,20260609
197,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,343824.4,185108.0,0.8805,0.012923,0.4229,2.0,1.9358,0.1356,20260609
198,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,319872.6,120081.3,0.9362,0.027526,0.5373,2.0,2.0648,0.1522,20260609
199,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,322225.9,170055.5,0.8844,0.021243,0.2729,2.0,1.7941,0.3145,20260609
200,20,LVRT,2ph_g,0.2,weak,3.0,26.3523,0.251646,358343.7,205216.9,0.8678,0.021041,0.2148,2.0,1.7359,0.6254,20260609
201,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,354642.5,214895.4,0.8552,0.022988,0.2786,2.0,1.8016,0.2951,20260609
202,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,336470.0,187496.9,0.8735,0.012012,0.6027,2.0,2.1147,0.2397,20260609
203,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,344678.5,160778.8,0.9063,0.029371,0.3329,2.0,1.8623,0.7068,20260609
204,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,352517.6,202425.0,0.8672,0.019816,0.3473,2.0,1.8671,0.3633,20260609
205,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,324198.8,146105.5,0.9117,0.021504,0.2428,2.0,1.7643,0.6999,20260609
206,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,356700.0,185220.3,0.8875,0.015098,0.4226,2.0,1.9377,0.442,20260609
207,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,328812.7,198956.5,0.8556,0.02528,0.4529,2.0,1.9782,0.6262,20260609
208,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,346044.5,206557.9,0.8587,0.024514,0.2261,2.0,1.7506,0.3203,20260609
209,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,326702.8,190035.2,0.8644,0.026576,0.3168,2.0,1.8434,0.467,20260609
210,21,LVRT,2ph_g,0.5,strong,10.0,7.9057,0.075494,343805.0,132031.0,0.9335,0.013374,0.3659,2.0,1.8793,0.0804,20260609
211,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,320764.2,163345.6,0.8911,0.028916,0.4768,2.0,2.0057,0.7722,20260609
212,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,294739.8,134180.0,0.9101,0.020896,0.233,2.0,1.7539,0.4827,20260609
213,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,329092.0,151825.7,0.908,0.027698,0.4118,2.0,1.9395,0.6656,20260609
214,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,288054.6,111746.6,0.9323,0.015957,0.2661,2.0,1.782,0.6901,20260609
215,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,282576.7,95971.4,0.9469,0.013817,0.391,2.0,1.9048,0.094,20260609
216,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,358024.2,153387.7,0.9192,0.023584,0.2907,2.0,1.8142,0.603,20260609
217,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,296062.3,97755.4,0.9496,0.022111,0.3384,2.0,1.8605,0.4572,20260609
218,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,300618.5,118590.6,0.9302,0.022999,0.2859,2.0,1.8089,0.7234,20260609
219,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,314213.9,123061.7,0.9311,0.015439,0.1569,2.0,1.6724,0.5807,20260609
220,22,LVRT,2ph_g,0.5,weak,3.0,26.3523,0.251646,322301.6,175651.9,0.8781,0.025912,0.6065,2.0,2.1324,0.7427,20260609
221,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,344609.6,126250.8,0.939,0.022179,0.2208,2.0,1.743,0.2763,20260609
222,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,326154.6,180915.2,0.8745,0.026322,0.3252,2.0,1.8515,0.4866,20260609
223,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,320767.4,176002.0,0.8767,0.018701,0.2548,2.0,1.7735,0.4014,20260609
224,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,356104.8,121118.0,0.9467,0.025313,0.6139,2.0,2.1392,0.1505,20260609
225,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,302802.3,172772.0,0.8686,0.025999,0.1622,2.0,1.6882,0.4964,20260609
226,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,313736.9,175161.5,0.8731,0.014887,0.2402,2.0,1.7551,0.2627,20260609
227,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,296245.0,138023.7,0.9064,0.020645,0.493,2.0,2.0137,0.5586,20260609
228,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,336027.1,197042.4,0.8626,0.01557,0.2961,2.0,1.8117,0.7572,20260609
229,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,310862.2,124864.6,0.9279,0.012941,0.2616,2.0,1.7745,0.3935,20260609
230,23,LVRT,2ph_g,0.75,strong,10.0,7.9057,0.075494,285647.7,167479.6,0.8627,0.025735,0.3551,2.0,1.8809,0.3417,20260609
231,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,307444.9,174092.1,0.8702,0.027517,0.3071,2.0,1.8346,0.2311,20260609
232,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,351859.5,118276.7,0.9479,0.024792,0.3794,2.0,1.9042,0.7727,20260609
233,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,315239.4,106396.1,0.9475,0.029182,0.2499,2.0,1.7791,0.6387,20260609
234,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,344952.8,155657.3,0.9115,0.017604,0.5248,2.0,2.0424,0.6679,20260609
235,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,299002.4,174895.5,0.8632,0.026786,0.4169,2.0,1.9436,0.761,20260609
236,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,329320.9,193967.3,0.8616,0.01891,0.1536,2.0,1.6725,0.5411,20260609
237,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,299478.7,127900.1,0.9196,0.021223,0.2523,2.0,1.7735,0.7131,20260609
238,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,313922.1,163535.7,0.8869,0.022774,0.4759,2.0,1.9986,0.3132,20260609
239,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,322623.9,161344.1,0.8944,0.028232,0.3258,2.0,1.8541,0.1305,20260609
240,24,LVRT,2ph_g,0.75,weak,3.0,26.3523,0.251646,347029.9,190421.9,0.8767,0.012451,0.4304,2.0,1.9428,0.1864,20260609
241,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,335117.5,171362.8,0.8903,0.023984,1.0,2.0,2.524,0.5001,20260609
242,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,327436.6,111688.8,0.9465,0.020857,1.0,2.0,2.5209,0.4817,20260609
243,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,329893.0,187461.9,0.8694,0.012534,1.0,2.0,2.5125,0.6381,20260609
244,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,282014.4,115235.1,0.9257,0.019484,1.0,2.0,2.5195,0.2562,20260609
245,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,351818.9,136588.4,0.9322,0.018195,1.0,2.0,2.5182,0.0944,20260609
246,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,355586.3,148063.1,0.9232,0.017294,1.0,2.0,2.5173,0.7819,20260609
247,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,299071.2,151725.4,0.8918,0.015036,1.0,2.0,2.515,0.1383,20260609
248,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,320469.2,147004.8,0.9089,0.018448,1.0,2.0,2.5184,0.4162,20260609
249,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,351946.8,206950.5,0.862,0.023377,1.0,2.0,2.5234,0.6881,20260609
250,25,HVRT,swell_3ph,1.2,strong,10.0,7.9057,0.075494,357040.4,147101.7,0.9246,0.017489,1.0,2.0,2.5175,0.4789,20260609
251,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,349061.3,209937.5,0.857,0.02337,1.0,2.0,2.5234,0.4732,20260609
252,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,351076.1,164557.6,0.9055,0.020833,1.0,2.0,2.5208,0.5923,20260609
253,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,333238.0,112580.2,0.9474,0.023914,1.0,2.0,2.5239,0.1294,20260609
254,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,307625.8,164331.5,0.882,0.014308,1.0,2.0,2.5143,0.767,20260609
255,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,342203.8,161307.7,0.9045,0.01652,1.0,2.0,2.5165,0.6128,20260609
256,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,352531.5,189956.7,0.8803,0.027189,1.0,2.0,2.5272,0.2964,20260609
257,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,296295.2,153785.6,0.8876,0.027769,1.0,2.0,2.5278,0.5519,20260609
258,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,304213.8,101789.1,0.9483,0.020469,1.0,2.0,2.5205,0.4673,20260609
259,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,359759.1,121286.8,0.9476,0.013406,1.0,2.0,2.5134,0.1813,20260609
260,26,HVRT,swell_3ph,1.2,weak,3.0,26.3523,0.251646,316888.1,116557.3,0.9385,0.018439,1.0,2.0,2.5184,0.4943,20260609
261,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,343743.3,173524.8,0.8927,0.015044,0.5,2.0,2.015,0.3976,20260609
262,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,354009.7,153943.3,0.917,0.025493,0.5,2.0,2.0255,0.1002,20260609
263,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,299303.4,131229.3,0.9158,0.018767,0.5,2.0,2.0188,0.1025,20260609
264,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,324004.8,183474.1,0.8702,0.018885,0.5,2.0,2.0189,0.6576,20260609
265,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,333320.3,187980.3,0.871,0.026785,0.5,2.0,2.0268,0.7434,20260609
266,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,324109.2,156167.0,0.9009,0.02904,0.5,2.0,2.029,0.1837,20260609
267,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,330936.6,187571.4,0.87,0.022322,0.5,2.0,2.0223,0.7991,20260609
268,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,311758.0,187591.8,0.8568,0.013961,0.5,2.0,2.014,0.6533,20260609
269,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,322873.5,197459.1,0.8531,0.012863,0.5,2.0,2.0129,0.4576,20260609
270,27,HVRT,swell_3ph,1.3,strong,10.0,7.9057,0.075494,320674.5,172860.6,0.8803,0.025741,0.5,2.0,2.0257,0.5837,20260609
271,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,348257.2,151222.5,0.9173,0.028753,0.5,2.0,2.0288,0.5787,20260609
272,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,312071.8,150090.7,0.9012,0.021003,0.5,2.0,2.021,0.3578,20260609
273,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,331988.3,142384.7,0.919,0.018245,0.5,2.0,2.0182,0.6846,20260609
274,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,284266.1,139873.9,0.8973,0.02734,0.5,2.0,2.0273,0.6311,20260609
275,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,296479.1,123262.7,0.9234,0.01635,0.5,2.0,2.0163,0.0789,20260609
276,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,332457.9,175149.8,0.8847,0.029073,0.5,2.0,2.0291,0.1814,20260609
277,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,311546.1,104847.6,0.9478,0.022119,0.5,2.0,2.0221,0.3255,20260609
278,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,321217.1,117758.2,0.9389,0.025184,0.5,2.0,2.0252,0.4891,20260609
279,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,324945.1,154492.8,0.9031,0.029952,0.5,2.0,2.03,0.4557,20260609
280,28,HVRT,swell_3ph,1.3,weak,3.0,26.3523,0.251646,321697.3,151810.4,0.9044,0.029295,0.5,2.0,2.0293,0.7108,20260609
281,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,352897.4,121149.1,0.9458,0.013403,1.0,2.0,2.5134,0.1132,20260609
282,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,302631.5,169276.6,0.8727,0.023966,1.0,2.0,2.524,0.4381,20260609
283,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,348785.0,190827.9,0.8773,0.022215,1.0,2.0,2.5222,0.5414,20260609
284,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,329579.1,196902.8,0.8585,0.021408,1.0,2.0,2.5214,0.599,20260609
285,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,294994.4,139784.7,0.9037,0.029116,1.0,2.0,2.5291,0.3418,20260609
286,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,301945.2,182558.3,0.8557,0.017078,1.0,2.0,2.5171,0.5102,20260609
287,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,357172.0,152818.1,0.9194,0.023061,1.0,2.0,2.5231,0.5163,20260609
288,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,332235.4,185017.1,0.8737,0.021072,1.0,2.0,2.5211,0.7785,20260609
289,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,339956.9,141303.7,0.9234,0.020942,1.0,2.0,2.5209,0.3576,20260609
290,29,HVRT,swell_1ph,1.2,strong,10.0,7.9057,0.075494,349930.9,198780.3,0.8695,0.016209,1.0,2.0,2.5162,0.7942,20260609
291,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,322512.0,198914.2,0.8511,0.012409,1.0,2.0,2.5124,0.2997,20260609
292,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,317785.6,184358.4,0.865,0.022266,1.0,2.0,2.5223,0.5627,20260609
293,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,284588.7,162969.8,0.8678,0.015164,1.0,2.0,2.5152,0.4855,20260609
294,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,326075.2,193499.4,0.86,0.024357,1.0,2.0,2.5244,0.1611,20260609
295,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,314649.1,143843.1,0.9095,0.021219,1.0,2.0,2.5212,0.3356,20260609
296,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,302473.5,136378.0,0.9116,0.021769,1.0,2.0,2.5218,0.5469,20260609
297,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,349933.3,161695.6,0.9078,0.022923,1.0,2.0,2.5229,0.159,20260609
298,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,285139.9,125416.9,0.9154,0.02024,1.0,2.0,2.5202,0.6604,20260609
299,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,339166.5,175050.4,0.8886,0.027175,1.0,2.0,2.5272,0.4272,20260609
300,30,HVRT,swell_1ph,1.2,weak,3.0,26.3523,0.251646,347706.9,205366.2,0.861,0.027771,1.0,2.0,2.5278,0.729,20260609
301,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,314488.3,129565.1,0.9246,0.021419,0.5,2.0,2.0214,0.5681,20260609
302,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,284515.1,172026.7,0.8557,0.029553,0.5,2.0,2.0296,0.6239,20260609
303,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,281467.5,123537.3,0.9157,0.018147,0.5,2.0,2.0181,0.2503,20260609
304,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,338187.8,159972.2,0.904,0.022337,0.5,2.0,2.0223,0.7554,20260609
305,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,307667.3,159502.9,0.8878,0.012001,0.5,2.0,2.012,0.7069,20260609
306,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,307506.1,178589.6,0.8647,0.027806,0.5,2.0,2.0278,0.2514,20260609
307,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,312687.3,141907.3,0.9106,0.013553,0.5,2.0,2.0136,0.4614,20260609
308,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,300820.1,141928.0,0.9044,0.013313,0.5,2.0,2.0133,0.5944,20260609
309,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,338917.9,117210.1,0.9451,0.021169,0.5,2.0,2.0212,0.2785,20260609
310,31,HVRT,swell_1ph,1.3,strong,10.0,7.9057,0.075494,321248.5,184615.3,0.867,0.029121,0.5,2.0,2.0291,0.1726,20260609
311,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,287765.6,112997.3,0.9308,0.013824,0.5,2.0,2.0138,0.1883,20260609
312,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,326826.2,134059.9,0.9252,0.014538,0.5,2.0,2.0145,0.7608,20260609
313,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,347904.7,163390.0,0.9051,0.018951,0.5,2.0,2.019,0.0932,20260609
314,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,308059.8,177621.3,0.8663,0.026956,0.5,2.0,2.027,0.5036,20260609
315,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,329346.0,147643.2,0.9125,0.015014,0.5,2.0,2.015,0.5262,20260609
316,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,296753.6,161608.2,0.8782,0.01357,0.5,2.0,2.0136,0.6792,20260609
317,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,297759.5,176585.5,0.8601,0.018965,0.5,2.0,2.019,0.178,20260609
318,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,307710.2,131416.7,0.9196,0.022514,0.5,2.0,2.0225,0.2785,20260609
319,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,298291.5,128274.4,0.9187,0.024769,0.5,2.0,2.0248,0.7517,20260609
320,32,HVRT,swell_1ph,1.3,weak,3.0,26.3523,0.251646,298778.6,135007.4,0.9113,0.02247,0.5,2.0,2.0225,0.4271,20260609
