scenario_id,sc_id,sc_label,run_idx,T_sim,P_load,Q_load,power_factor,t_fault,fault_variant,fault_mag,fault_resistance,ground_resistance,random_seed
235,6,sc_1ph,35,0.05,312550.180168,158252.761661,0.892158,0.01737381,2,0.819891,0.497187,0.497187,20260525
236,6,sc_1ph,36,0.05,281382.909736,136692.683315,0.899482,0.02265816,2,0.976606,0.468532,0.468532,20260525
237,6,sc_1ph,37,0.05,358270.872042,206750.22967,0.866128,0.01265443,2,0.837172,0.383675,0.383675,20260525
238,6,sc_1ph,38,0.05,348765.611947,202132.853139,0.865194,0.02835372,1,0.941668,0.281075,0.281075,20260525
239,6,sc_1ph,39,0.05,326365.969772,118767.335092,0.939711,0.02716778,3,0.961311,0.272212,0.272212,20260525
240,6,sc_1ph,40,0.05,296694.810865,102882.450433,0.944808,0.02512661,2,0.898537,0.289939,0.289939,20260525
241,6,sc_1ph,41,0.05,334195.226052,153592.801719,0.908632,0.01970612,3,0.916245,0.356827,0.356827,20260525
242,6,sc_1ph,42,0.05,306914.515847,180805.96929,0.861605,0.02025225,2,0.849436,0.4372,0.4372,20260525
243,6,sc_1ph,43,0.05,303553.026559,100121.833773,0.949676,0.01970299,2,0.893535,0.285305,0.285305,20260525
244,6,sc_1ph,44,0.05,286366.443749,169048.289014,0.861148,0.01992622,3,0.827316,0.256548,0.256548,20260525
245,6,sc_1ph,45,0.05,337560.083435,160432.716108,0.903182,0.02304725,1,0.927926,0.451363,0.451363,20260525
246,6,sc_1ph,46,0.05,310250.03249,169578.113034,0.877478,0.02616216,2,0.949764,0.385555,0.385555,20260525
247,6,sc_1ph,47,0.05,347248.877375,156508.411837,0.911679,0.0255991,1,0.862394,0.435851,0.435851,20260525
248,6,sc_1ph,48,0.05,322240.914511,195855.9176,0.854541,0.01250483,3,0.838822,0.413738,0.413738,20260525
249,6,sc_1ph,49,0.05,329373.921191,129363.334927,0.930784,0.01339137,3,0.806819,0.472228,0.472228,20260525
250,6,sc_1ph,50,0.05,284162.51676,156976.12358,0.875321,0.01428921,2,0.807982,0.270873,0.270873,20260525
251,7,sc_3ph,1,0.05,280809.382584,117370.267947,0.922649,0.01609908,1,0.864687,0.263563,0.263563,20260525
252,7,sc_3ph,2,0.05,319748.685358,170582.748902,0.882296,0.02137197,1,0.843735,0.217607,0.217607,20260525
253,7,sc_3ph,3,0.05,304350.074904,157704.738308,0.887881,0.02516027,1,0.825626,0.372948,0.372948,20260525
254,7,sc_3ph,4,0.05,352917.381186,170673.482852,0.900252,0.01901993,1,0.96521,0.261043,0.261043,20260525
255,7,sc_3ph,5,0.05,284462.513872,139441.336849,0.897922,0.01926242,1,0.824319,0.297696,0.297696,20260525
256,7,sc_3ph,6,0.05,298306.120559,163003.501028,0.877535,0.02100245,1,0.941837,0.269405,0.269405,20260525
257,7,sc_3ph,7,0.05,328158.259936,189055.2957,0.86649,0.0160387,1,0.801561,0.316807,0.316807,20260525
258,7,sc_3ph,8,0.05,291811.36472,179505.003123,0.851751,0.01275042,1,0.887829,0.310088,0.310088,20260525
259,7,sc_3ph,9,0.05,347718.491551,176493.006999,0.891709,0.01306889,1,0.913322,0.279014,0.279014,20260525
260,7,sc_3ph,10,0.05,324654.465954,180659.426936,0.873819,0.01494071,1,0.983705,0.267867,0.267867,20260525
261,7,sc_3ph,11,0.05,304358.336934,163748.51503,0.880636,0.02871869,1,0.929225,0.378818,0.378818,20260525
262,7,sc_3ph,12,0.05,355850.123431,179909.821529,0.892427,0.01779249,1,0.808824,0.222874,0.222874,20260525
263,7,sc_3ph,13,0.05,306138.957185,182650.890133,0.858768,0.01671156,1,0.978797,0.232132,0.232132,20260525
264,7,sc_3ph,14,0.05,347376.668033,132824.102526,0.934049,0.01301333,1,0.991244,0.253942,0.253942,20260525
265,7,sc_3ph,15,0.05,286704.725183,115896.974092,0.927116,0.0156387,1,0.957887,0.353285,0.353285,20260525
266,7,sc_3ph,16,0.05,295891.412199,135799.219123,0.908853,0.01336448,1,0.817627,0.232263,0.232263,20260525
267,7,sc_3ph,17,0.05,342051.302862,124262.253386,0.939899,0.02087399,1,0.811579,0.197867,0.197867,20260525
268,7,sc_3ph,18,0.05,346652.129277,124917.468771,0.940781,0.02893669,1,0.972788,0.361894,0.361894,20260525
269,7,sc_3ph,19,0.05,355253.411477,219227.070869,0.851006,0.02593753,1,0.824221,0.35595,0.35595,20260525
270,7,sc_3ph,20,0.05,281068.021303,95527.697055,0.946809,0.02573765,1,0.811253,0.245941,0.245941,20260525
271,7,sc_3ph,21,0.05,345088.103102,212604.641732,0.851391,0.02730704,1,0.880115,0.261447,0.261447,20260525
272,7,sc_3ph,22,0.05,336517.513191,154060.958316,0.909245,0.02988509,1,0.987973,0.253258,0.253258,20260525
273,7,sc_3ph,23,0.05,311437.150497,142402.61674,0.90944,0.01895128,1,0.950598,0.367925,0.367925,20260525
274,7,sc_3ph,24,0.05,287914.692884,100566.789091,0.944066,0.0263605,1,0.96725,0.245736,0.245736,20260525
275,7,sc_3ph,25,0.05,303689.90285,158490.565109,0.886533,0.01619665,1,0.813554,0.274845,0.274845,20260525
276,7,sc_3ph,26,0.05,318636.896712,190876.026128,0.857856,0.01824492,1,0.818127,0.274764,0.274764,20260525
277,7,sc_3ph,27,0.05,298349.148995,171203.675658,0.867342,0.02924352,1,0.857013,0.182878,0.182878,20260525
278,7,sc_3ph,28,0.05,285972.521535,100616.129251,0.943316,0.02886458,1,0.894951,0.277373,0.277373,20260525
279,7,sc_3ph,29,0.05,334858.938197,202027.632539,0.856236,0.01882467,1,0.831046,0.191249,0.191249,20260525
280,7,sc_3ph,30,0.05,311805.817444,182525.124086,0.863009,0.02009611,1,0.999833,0.332909,0.332909,20260525
281,7,sc_3ph,31,0.05,352611.541848,140997.227924,0.92852,0.02882235,1,0.843133,0.327269,0.327269,20260525
282,7,sc_3ph,32,0.05,334289.660532,194168.79439,0.864716,0.02526856,1,0.903349,0.337924,0.337924,20260525
283,7,sc_3ph,33,0.05,309830.250669,124028.265621,0.928377,0.01515768,1,0.924808,0.257876,0.257876,20260525
284,7,sc_3ph,34,0.05,291865.540089,138345.712966,0.903626,0.02846083,1,0.875733,0.33404,0.33404,20260525
285,7,sc_3ph,35,0.05,292254.571009,141481.093265,0.900078,0.02534825,1,0.898325,0.210261,0.210261,20260525
286,7,sc_3ph,36,0.05,297043.75596,138500.387298,0.906323,0.01282784,1,0.915026,0.334531,0.334531,20260525
287,7,sc_3ph,37,0.05,319139.416011,129926.532238,0.926187,0.02235607,1,0.830006,0.189851,0.189851,20260525
288,7,sc_3ph,38,0.05,324708.547791,192892.092663,0.859743,0.02163836,1,0.975254,0.255674,0.255674,20260525
289,7,sc_3ph,39,0.05,282038.969079,122252.584541,0.917513,0.02607015,1,0.866557,0.354159,0.354159,20260525
290,7,sc_3ph,40,0.05,339945.42627,133813.687862,0.930506,0.02465345,1,0.823135,0.371712,0.371712,20260525
291,7,sc_3ph,41,0.05,317135.172312,137302.153655,0.917686,0.01894796,1,0.959688,0.205285,0.205285,20260525
292,7,sc_3ph,42,0.05,281989.345145,98483.44197,0.94408,0.02608167,1,0.979431,0.182728,0.182728,20260525
293,7,sc_3ph,43,0.05,294145.46626,123528.834274,0.921996,0.01740374,1,0.811674,0.341479,0.341479,20260525
294,7,sc_3ph,44,0.05,321980.069413,183875.622273,0.868374,0.01219389,1,0.964088,0.369793,0.369793,20260525
295,7,sc_3ph,45,0.05,329918.970345,142557.705067,0.917968,0.01553114,1,0.852793,0.293083,0.293083,20260525
296,7,sc_3ph,46,0.05,284156.497965,99074.929236,0.944251,0.0126003,1,0.874858,0.345239,0.345239,20260525
297,7,sc_3ph,47,0.05,284972.115476,148422.014798,0.886915,0.02611981,1,0.973522,0.229792,0.229792,20260525
298,7,sc_3ph,48,0.05,337857.248419,165524.529667,0.898017,0.01433567,1,0.861909,0.344034,0.344034,20260525
299,7,sc_3ph,49,0.05,315664.973493,188291.474506,0.858819,0.01329649,1,0.813984,0.270097,0.270097,20260525
300,7,sc_3ph,50,0.05,316222.504738,107953.955452,0.946372,0.02347753,1,0.846378,0.337055,0.337055,20260525
301,8,cascade,1,0.05,285369.647204,142423.799872,0.894754,0.01648278,4,0.97478,0.01,0.01,20260525
302,8,cascade,2,0.05,347250.977281,191413.390935,0.875763,0.02130853,6,0.97096,0.01,0.01,20260525
303,8,cascade,3,0.05,340053.847682,155378.352636,0.90955,0.01912825,2,0.996221,0.01,0.01,20260525
304,8,cascade,4,0.05,292671.875638,150859.037122,0.888865,0.01690982,4,0.988894,0.01,0.01,20260525
305,8,cascade,5,0.05,331203.863814,203039.168517,0.852552,0.0167507,5,0.966459,0.01,0.01,20260525
306,8,cascade,6,0.05,295239.016648,181547.459102,0.851836,0.02376772,6,0.937973,0.01,0.01,20260525
307,8,cascade,7,0.05,287720.579965,140257.181945,0.898885,0.02782568,1,0.904845,0.01,0.01,20260525
308,8,cascade,8,0.05,335950.042782,127218.46626,0.935192,0.02486704,1,0.941759,0.01,0.01,20260525
309,8,cascade,9,0.05,301571.14867,184209.873451,0.853387,0.01636334,5,0.991174,0.01,0.01,20260525
310,8,cascade,10,0.05,359398.659643,166381.836627,0.907473,0.02829323,1,0.933264,0.01,0.01,20260525
311,8,cascade,11,0.05,335071.610945,133964.087768,0.928538,0.02277289,2,0.973153,0.01,0.01,20260525
312,8,cascade,12,0.05,319280.866886,132441.359881,0.923684,0.01735997,6,0.91131,0.01,0.01,20260525
313,8,cascade,13,0.05,351125.80186,205395.568322,0.863166,0.02860572,6,0.990196,0.01,0.01,20260525
314,8,cascade,14,0.05,281229.563654,160478.670252,0.868541,0.02343708,2,0.98698,0.01,0.01,20260525
315,8,cascade,15,0.05,310238.087223,180796.120981,0.863992,0.0130608,3,0.990249,0.01,0.01,20260525
316,8,cascade,16,0.05,302905.802838,173065.787203,0.868272,0.02223766,1,0.924101,0.01,0.01,20260525
317,8,cascade,17,0.05,338655.660335,209771.016934,0.850122,0.02627372,1,0.928575,0.01,0.01,20260525
318,8,cascade,18,0.05,306047.139491,126115.052624,0.924576,0.02196565,6,0.921506,0.01,0.01,20260525
319,8,cascade,19,0.05,285144.385783,163396.787531,0.867643,0.01532127,3,0.901433,0.01,0.01,20260525
320,8,cascade,20,0.05,327085.954,161226.670683,0.896954,0.02823363,5,0.947603,0.01,0.01,20260525
321,8,cascade,21,0.05,321399.392524,179571.945193,0.872982,0.01403417,3,0.990532,0.01,0.01,20260525
322,8,cascade,22,0.05,285085.682101,104872.975399,0.938512,0.02764619,6,0.920775,0.01,0.01,20260525
323,8,cascade,23,0.05,342709.801403,166822.718455,0.899133,0.01634832,2,0.981968,0.01,0.01,20260525
324,8,cascade,24,0.05,322295.192139,136173.971363,0.921153,0.01400448,6,0.967997,0.01,0.01,20260525
325,8,cascade,25,0.05,319458.674308,106781.257362,0.94842,0.02743922,5,0.911663,0.01,0.01,20260525
326,8,cascade,26,0.05,310955.058154,149903.054637,0.900793,0.01721017,3,0.985771,0.01,0.01,20260525
327,8,cascade,27,0.05,280626.313252,157389.219757,0.87219,0.02137073,1,0.985382,0.01,0.01,20260525
328,8,cascade,28,0.05,337231.304119,110914.408533,0.94994,0.01585004,5,0.931132,0.01,0.01,20260525
329,8,cascade,29,0.05,337900.886463,164030.56511,0.899605,0.02756192,1,0.946707,0.01,0.01,20260525
330,8,cascade,30,0.05,356760.214759,153276.449258,0.918791,0.02934016,1,0.976499,0.01,0.01,20260525
331,8,cascade,31,0.05,332592.865561,163960.777072,0.896933,0.01340144,3,0.921668,0.01,0.01,20260525
332,8,cascade,32,0.05,317804.663555,192206.392315,0.855678,0.01452376,3,0.948634,0.01,0.01,20260525
333,8,cascade,33,0.05,356786.880001,217702.292779,0.853637,0.01835683,1,0.98386,0.01,0.01,20260525
334,8,cascade,34,0.05,314901.014537,161026.823496,0.890346,0.01739572,6,0.979812,0.01,0.01,20260525
335,8,cascade,35,0.05,344568.848152,143526.830558,0.923118,0.02982128,1,0.958079,0.01,0.01,20260525
336,8,cascade,36,0.05,281036.695576,171969.780489,0.852978,0.02938255,4,0.940006,0.01,0.01,20260525
337,8,cascade,37,0.05,345927.164298,125747.312714,0.939832,0.02512664,2,0.95337,0.01,0.01,20260525
338,8,cascade,38,0.05,290948.819808,98795.123608,0.946899,0.01578788,6,0.901232,0.01,0.01,20260525
339,8,cascade,39,0.05,330770.258207,193455.512113,0.863203,0.02028451,6,0.985315,0.01,0.01,20260525
340,8,cascade,40,0.05,354326.325745,189327.210167,0.881988,0.02150436,5,0.962079,0.01,0.01,20260525
341,8,cascade,41,0.05,334550.985151,110361.330662,0.949663,0.02721526,6,0.996697,0.01,0.01,20260525
342,8,cascade,42,0.05,350122.093567,211215.612521,0.856258,0.0224305,2,0.974294,0.01,0.01,20260525
343,8,cascade,43,0.05,359372.957869,123373.648436,0.945817,0.02417209,6,0.995417,0.01,0.01,20260525
344,8,cascade,44,0.05,294560.2192,171916.51573,0.863664,0.01642064,4,0.953236,0.01,0.01,20260525
345,8,cascade,45,0.05,300654.223954,185810.235622,0.850656,0.02305886,2,0.981758,0.01,0.01,20260525
346,8,cascade,46,0.05,345133.948207,135934.383662,0.930434,0.02390775,5,0.942739,0.01,0.01,20260525
347,8,cascade,47,0.05,290548.562851,168321.247095,0.865286,0.01272557,6,0.90268,0.01,0.01,20260525
348,8,cascade,48,0.05,355474.203365,153662.270011,0.91791,0.02458392,4,0.930917,0.01,0.01,20260525
349,8,cascade,49,0.05,351032.830895,122837.195434,0.943879,0.02230965,5,0.941844,0.01,0.01,20260525
350,8,cascade,50,0.05,327862.066532,176372.324439,0.88066,0.02849837,5,0.954798,0.01,0.01,20260525
